Date,Year,,Cases,Scaled_Cases,,Noisy_cases Scaled_cases,
11-11-23,2023,,10000,0.01,,0.098202617,98203
18-11-23,2023,,11220,0.011219622,,0.031227482,31227
25-11-23,2023,,17198,0.01719757,,0.066134469,66134
02-12-23,2023,,29509,0.029508735,,0.141553395,141553
09-12-23,2023,,51716,0.051716337,,0.145094237,145094
16-12-23,2023,,89331,0.089331144,,0.04046725,40467
23-12-23,2023,,148547,0.148546562,,0.196050983,196051
30-12-23,2023,,231881,0.231880541,,0.424312681,424313
06-01-24,2023,,330915,0.330914873,,0.32575393,325754
13-01-24,2024,,423480,0.423480076,,0.444010001,444010
20-01-24,2024,,484517,0.484517243,,0.491719422,491719
27-01-24,2024,,502677,0.502677312,,0.575390988,575391
03-02-24,2024,,484049,0.484049289,,0.522101175,522101
10-02-24,2024,,442877,0.442877019,,0.44896077,448961
17-02-24,2024,,392343,0.392342826,,0.414535987,414536
24-02-24,2024,,341136,0.341135723,,0.35781944,357819
02-03-24,2024,,293815,0.293815281,,0.368519235,368519
09-03-24,2024,,252222,0.252222693,,0.24196478,241965
16-03-24,2024,,216699,0.216699344,,0.232352729,232353
23-03-24,2024,,186869,0.186868583,,0.144163796,144164
30-03-24,2024,,162071,0.162070662,,0.034421171,34421
06-04-24,2024,,141582,0.141582432,,0.174263362,174263
13-04-24,2024,,124718,0.124718002,,0.167939812,167940
20-04-24,2024,,110868,0.110868131,,0.07375988,73760
27-04-24,2024,,99510,0.099509907,,0.212997638,212998
04-05-24,2024,,90203,0.09020307,,0.217484786,217485
11-05-24,2024,,82581,0.082581099,,0.084869025,84869
18-05-24,2024,,76341,0.076340913,,0.06698172,66982
25-05-24,2024,,71233,0.071232919,,0.14787188,147872
01-06-24,2024,,67052,0.067052104,,0.140520042,140520
08-06-24,2024,,63630,0.063630333,,0.071377704,71378
15-06-24,2024,,60830,0.060829863,,0.279737989,279738
22-06-24,2024,,58538,0.058537917,,0.01414863,14149
29-06-24,2024,,56662,0.056662195,,0,0
06-07-24,2024,,55127,0.055127179,,0.037731571,37732
13-07-24,2024,,53871,0.053871082,,0.061688531,61689
20-07-24,2024,,52843,0.052843365,,0.114357899,114358
27-07-24,2024,,52003,0.052002679,,0.112121672,112122
03-08-24,2024,,51315,0.051315202,,0.031948861,31949
10-08-24,2024,,50753,0.050753258,,0.035638121,35638
17-08-24,2024,,50294,0.050294206,,0,0
24-08-24,2024,,49920,0.049919516,,0,0
31-08-24,2024,,49614,0.049614024,,0,0
07-09-24,2024,,49365,0.049365313,,0.146904083,146904
14-09-24,2024,,49163,0.049163219,,0.22368061,223681
21-09-24,2024,,48999,0.048999418,,0.027095702,27096
28-09-24,2024,,48867,0.048867088,,0,0
05-10-24,2024,,48761,0.04876064,,0.087635158,87635
12-10-24,2024,,48675,0.048675493,,0,0
19-10-24,2024,,48608,0.048607889,,0.037970875,37971
26-10-24,2024,,48555,0.048554743,,0.003781415,3781
02-11-24,2024,,48514,0.048513525,,0.06785865,67859
09-11-24,2024,,48482,0.048482154,,0.022941897,22942
16-11-24,2024,,48459,0.048458921,,0,0
23-11-24,2024,,48442,0.048442418,,0.047033307,47033
30-11-24,2024,,48431,0.048431488,,0.069848082,69848
07-12-24,2024,,48425,0.048425176,,0.051751037,51751
14-12-24,2024,,48423,0.048422692,,0.063546287,63546
21-12-24,2024,,48423,0.048423387,,0.016707282,16707
28-12-24,2024,,48427,0.04842672,,0.030289662,30290
